string,SHA256,MD5
!,bb7208bc9b5d7c04f1236a82a0093a5e33f40423d5ba8d4266f7092c3ba43b62,9033e0e305f247c0c3c80d0c7848c8b3
!_archives,b495203bccc44049f2d5b5643980e28266c27aa6346c0551ca89a9387e68ef96,c03273477579fc1d37dab4378113d17f
!_images,edc40b3876da67e6488c3af05a081fb7589fb898e308bf8c4043abd09822d9ea,a7d20a0a1b797cb16e3829e081560dcc
!backup,8db7595b435c63ab037cb4b0197869476c5938294c2065d8a4c203971408c482,4dabccb26c3a261a78dc6ca6954b2314
!images,5b85c4b909f479577d7e63dd87ebb65824d57c3bcfa375847eba0c4d202cede1,dee152db8ec3a88eef7e2bb9fcd12db8
!res,ca250090a582b11b0b1425fd2d2ceac534cf873703840ac02334d23dcf3ae593,56b5e0764ab355c6924a33b2164ff4b9
!textove_diskuse,2752d91110e0073476587c0b5c5bcee33fa35dd9f7c6b1a98051f1bf0ee068c5,dcf98f9f2427fd7c35fb8382c7b87fb7
!ut,37dac3607094169bbd9543c1d22e7184642ab72455ee47c102e0da6b71f314e9,fa8a7ffed0eafc1d049dfc409ab1a316
.bash_history,bf3c1712d83717a0a38f5ea2588520103cef58752c2d8380231c29e25a483df0,0a97c9183c241136b2330a66266325fc
.bashrc,b7cf3e96e1f74fc148d130e98db1c65c7b8eb4f5b668668fa71f26768796a5b0,85cf9b51417c7cfb8766aa6b56f7edb9
.cvs,8ada57783aecfb7d81712217341ce6673e01ca0800c5a70a9eb3e8f8062cf82c,f49fe62ec95142fc2acd5717a8172141
.cvsignore,687c328490d23299cfe0a23a8f64ad29fa18ef993d628e1e8ce6e14d1cddc4c7,6d2b615139fd238e7c7471805068037e
.forward,453feacbff4229531dba7e1da7b82fcbe6da34953a5a3675879d88dc91759ccc,e2ddc2b28774044e8a6ecfdfd5495bd7
.history,d047b43a4e3075657b44f9c70ef2a79e905f8883a9f4b183a00161321e1712c0,d0e6fdc84ddc0e7cf994f938f7017d58
.htaccess,270939b4fba4be968ab78e23dc0207eb893744491980a25c99a27c809a82ddab,8052c42ab3b8aa06a3f5f788a4ddccc2
.htpasswd,cc66884fe24b737b90ec4d7cfab6b66340d0a9dbb3e242e26b419bd9cc9112d6,767a4d2de45e00f7eaba44dba59d8bd2
.listing,9add5a9cbbc2d94a729fd2856ffed2892055285eb25d3848a98eb563df3a566a,5bc8990679c48f8a51a6c9e583b2a7f3
